年月日,営業日フラグ,備考
2023-08-29,TRUE,
2023-08-30,TRUE,
2023-08-31,TRUE,
2023-09-01,TRUE,
2023-09-02,FALSE,
2023-09-03,FALSE,
2023-09-04,TRUE,
2023-09-05,TRUE,
2023-09-06,TRUE,
2023-09-07,TRUE,
2023-09-08,TRUE,
2023-09-09,FALSE,
2023-09-10,FALSE,
2023-09-11,TRUE,
2023-09-12,TRUE,
2023-09-13,TRUE,
2023-09-14,TRUE,
2023-09-15,TRUE,
2023-09-16,FALSE,
2023-09-17,FALSE,
2023-09-18,FALSE,敬老の日
2023-09-19,TRUE,
2023-09-20,TRUE,
2023-09-21,TRUE,
2023-09-22,TRUE,
2023-09-23,FALSE,秋分の日
2023-09-24,FALSE,
2023-09-25,TRUE,
2023-09-26,TRUE,
2023-09-27,TRUE,
2023-09-28,TRUE,
2023-09-29,TRUE,
2023-09-30,FALSE,
2023-10-01,FALSE,
2023-10-02,TRUE,
2023-10-03,TRUE,
2023-10-04,TRUE,
2023-10-05,TRUE,
2023-10-06,TRUE,
2023-10-07,FALSE,
2023-10-08,FALSE,
2023-10-09,FALSE,スポーツの日
2023-10-10,TRUE,
2023-10-11,TRUE,
2023-10-12,TRUE,
2023-10-13,TRUE,
2023-10-14,FALSE,
2023-10-15,FALSE,
2023-10-16,TRUE,
2023-10-17,TRUE,
2023-10-18,TRUE,
2023-10-19,TRUE,
2023-10-20,TRUE,
2023-10-21,FALSE,
2023-10-22,FALSE,
2023-10-23,TRUE,
2023-10-24,TRUE,
2023-10-25,TRUE,
2023-10-26,TRUE,
2023-10-27,TRUE,
2023-10-28,FALSE,
2023-10-29,FALSE,
2023-10-30,TRUE,
2023-10-31,TRUE,
2023-11-01,FALSE,
2023-11-02,FALSE,
2023-11-03,FALSE,文化の日
2023-11-04,FALSE,
2023-11-05,FALSE,
2023-11-06,TRUE,
2023-11-07,TRUE,
2023-11-08,TRUE,
2023-11-09,TRUE,
2023-11-10,TRUE,
2023-11-11,FALSE,
2023-11-12,FALSE,
2023-11-13,TRUE,
2023-11-14,TRUE,
2023-11-15,TRUE,
2023-11-16,TRUE,
2023-11-17,TRUE,
2023-11-18,FALSE,
2023-11-19,FALSE,
2023-11-20,TRUE,
2023-11-21,TRUE,
2023-11-22,TRUE,
2023-11-23,FALSE,勤労感謝の日
2023-11-24,TRUE,
2023-11-25,FALSE,
2023-11-26,FALSE,
2023-11-27,TRUE,
2023-11-28,TRUE,
2023-11-29,TRUE,
2023-11-30,TRUE,
2023-12-01,TRUE,
2023-12-02,FALSE,
2023-12-03,FALSE,
2023-12-04,TRUE,
2023-12-05,TRUE,
2023-12-06,TRUE,
2023-12-07,TRUE,
2023-12-08,TRUE,
2023-12-09,FALSE,
2023-12-10,FALSE,
2023-12-11,TRUE,
2023-12-12,TRUE,
2023-12-13,TRUE,
2023-12-14,TRUE,
2023-12-15,TRUE,
2023-12-16,FALSE,
2023-12-17,FALSE,
2023-12-18,TRUE,
2023-12-19,TRUE,
2023-12-20,TRUE,
2023-12-21,TRUE,
2023-12-22,TRUE,
2023-12-23,FALSE,
2023-12-24,FALSE,
2023-12-25,TRUE,
2023-12-26,TRUE,
2023-12-27,TRUE,
2023-12-28,TRUE,
2023-12-29,TRUE,
2023-12-30,FALSE,
2023-12-31,FALSE,
2024-01-01,FALSE,元日
2024-01-02,TRUE,
2024-01-03,TRUE,
2024-01-04,TRUE,
2024-01-05,TRUE,
2024-01-06,FALSE,
2024-01-07,FALSE,
2024-01-08,FALSE,成人の日
2024-01-09,TRUE,
2024-01-10,TRUE,
2024-01-11,TRUE,
2024-01-12,TRUE,
2024-01-13,FALSE,
2024-01-14,FALSE,
2024-01-15,TRUE,
2024-01-16,TRUE,
2024-01-17,TRUE,
2024-01-18,TRUE,
2024-01-19,TRUE,
2024-01-20,FALSE,
2024-01-21,FALSE,
2024-01-22,TRUE,
2024-01-23,TRUE,
2024-01-24,TRUE,
2024-01-25,TRUE,
2024-01-26,TRUE,
2024-01-27,FALSE,
2024-01-28,FALSE,
2024-01-29,TRUE,
2024-01-30,TRUE,
2024-01-31,TRUE,
2024-02-01,TRUE,
2024-02-02,TRUE,
2024-02-03,FALSE,
2024-02-04,FALSE,
2024-02-05,TRUE,
2024-02-06,TRUE,
2024-02-07,TRUE,
2024-02-08,TRUE,
2024-02-09,TRUE,
2024-02-10,FALSE,
2024-02-11,FALSE,建国記念の日
2024-02-12,FALSE,振替休日
2024-02-13,TRUE,
2024-02-14,TRUE,
2024-02-15,TRUE,
2024-02-16,TRUE,
2024-02-17,FALSE,
2024-02-18,FALSE,
2024-02-19,TRUE,
2024-02-20,TRUE,
2024-02-21,TRUE,
2024-02-22,TRUE,
2024-02-23,FALSE,天皇誕生日
2024-02-24,FALSE,
2024-02-25,FALSE,
2024-02-26,TRUE,
2024-02-27,TRUE,
2024-02-28,TRUE,
2024-02-29,TRUE,
2024-03-01,TRUE,
2024-03-02,FALSE,
2024-03-03,FALSE,
2024-03-04,TRUE,
2024-03-05,TRUE,
2024-03-06,TRUE,
2024-03-07,TRUE,
2024-03-08,TRUE,
2024-03-09,FALSE,
2024-03-10,FALSE,
2024-03-11,TRUE,
2024-03-12,TRUE,
2024-03-13,TRUE,
2024-03-14,TRUE,
2024-03-15,TRUE,
2024-03-16,FALSE,
2024-03-17,FALSE,
2024-03-18,TRUE,
2024-03-19,TRUE,
2024-03-20,FALSE,春分の日
2024-03-21,TRUE,
2024-03-22,TRUE,
2024-03-23,FALSE,
2024-03-24,FALSE,
2024-03-25,TRUE,
2024-03-26,TRUE,
2024-03-27,TRUE,
2024-03-28,TRUE,
2024-03-29,TRUE,
2024-03-30,FALSE,
2024-03-31,FALSE,
2024-04-01,TRUE,
2024-04-02,TRUE,
2024-04-03,TRUE,
2024-04-04,TRUE,
2024-04-05,TRUE,
2024-04-06,FALSE,
2024-04-07,FALSE,
2024-04-08,TRUE,
2024-04-09,TRUE,
2024-04-10,TRUE,
2024-04-11,TRUE,
2024-04-12,TRUE,
2024-04-13,FALSE,
2024-04-14,FALSE,
2024-04-15,TRUE,
2024-04-16,TRUE,
2024-04-17,TRUE,
2024-04-18,TRUE,
2024-04-19,TRUE,
2024-04-20,FALSE,
2024-04-21,FALSE,
2024-04-22,TRUE,
2024-04-23,TRUE,
2024-04-24,TRUE,
2024-04-25,TRUE,
2024-04-26,TRUE,
2024-04-27,FALSE,
2024-04-28,FALSE,
2024-04-29,FALSE,昭和の日
2024-04-30,TRUE,
2024-05-01,TRUE,
2024-05-02,TRUE,
2024-05-03,FALSE,憲法記念日
2024-05-04,FALSE,みどりの日
2024-05-05,FALSE,こどもの日
2024-05-06,FALSE,振替休日
2024-05-07,TRUE,
2024-05-08,TRUE,
2024-05-09,TRUE,
2024-05-10,TRUE,
2024-05-11,FALSE,
2024-05-12,FALSE,
2024-05-13,TRUE,
2024-05-14,TRUE,
2024-05-15,TRUE,
2024-05-16,TRUE,
2024-05-17,TRUE,
2024-05-18,FALSE,
2024-05-19,FALSE,
2024-05-20,TRUE,
2024-05-21,TRUE,
2024-05-22,TRUE,
2024-05-23,TRUE,
2024-05-24,TRUE,
2024-05-25,FALSE,
2024-05-26,FALSE,
2024-05-27,TRUE,
2024-05-28,TRUE,
2024-05-29,TRUE,
2024-05-30,TRUE,
2024-05-31,TRUE,
2024-06-01,TRUE,
2024-06-02,TRUE,
2024-06-03,FALSE,
2024-06-04,FALSE,
2024-06-05,TRUE,
2024-06-06,TRUE,
2024-06-07,TRUE,
2024-06-08,TRUE,
2024-06-09,TRUE,
2024-06-10,FALSE,
2024-06-11,FALSE,
2024-06-12,TRUE,
2024-06-13,TRUE,
2024-06-14,TRUE,
2024-06-15,TRUE,
2024-06-16,TRUE,
2024-06-17,FALSE,
2024-06-18,FALSE,
2024-06-19,TRUE,
2024-06-20,TRUE,
2024-06-21,TRUE,
2024-06-22,TRUE,
2024-06-23,TRUE,
2024-06-24,FALSE,
2024-06-25,FALSE,
2024-06-26,TRUE,
2024-06-27,TRUE,
2024-06-28,TRUE,
2024-06-29,TRUE,
2024-06-30,TRUE,
2024-07-01,FALSE,
2024-07-02,FALSE,
2024-07-03,TRUE,
2024-07-04,TRUE,
2024-07-05,TRUE,
2024-07-06,TRUE,
2024-07-07,TRUE,
2024-07-08,FALSE,
2024-07-09,FALSE,
2024-07-10,TRUE,
2024-07-11,TRUE,
2024-07-12,TRUE,
2024-07-13,TRUE,
2024-07-14,TRUE,
2024-07-15,FALSE,
2024-07-16,FALSE,
2024-07-17,FALSE,海の日
2024-07-18,TRUE,
2024-07-19,TRUE,
2024-07-20,TRUE,
2024-07-21,TRUE,
2024-07-22,FALSE,
2024-07-23,FALSE,
2024-07-24,TRUE,
2024-07-25,TRUE,
2024-07-26,TRUE,
2024-07-27,TRUE,
2024-07-28,TRUE,
2024-07-29,FALSE,
2024-07-30,FALSE,
2024-07-31,TRUE,
2024-08-01,TRUE,
2024-08-02,TRUE,
2024-08-03,TRUE,
2024-08-04,TRUE,
2024-08-05,FALSE,
2024-08-06,FALSE,
2024-08-07,TRUE,
2024-08-08,TRUE,
2024-08-09,TRUE,
2024-08-10,TRUE,
2024-08-11,FALSE,山の日
2024-08-12,FALSE,振替休日
2024-08-13,TRUE,
2024-08-14,TRUE,
2024-08-15,TRUE,
2024-08-16,TRUE,
2024-08-17,FALSE,
2024-08-18,FALSE,
2024-08-19,TRUE,
2024-08-20,TRUE,
2024-08-21,TRUE,
2024-08-22,TRUE,
2024-08-23,TRUE,
2024-08-24,FALSE,
2024-08-25,FALSE,
2024-08-26,TRUE,
2024-08-27,TRUE,
2024-08-28,TRUE,
2024-08-29,TRUE,
2024-08-30,TRUE,
2024-08-31,FALSE,
2024-09-01,FALSE,
2024-09-02,TRUE,
2024-09-03,TRUE,
2024-09-04,TRUE,
2024-09-05,TRUE,
2024-09-06,TRUE,
2024-09-07,FALSE,
2024-09-08,FALSE,
2024-09-09,TRUE,
2024-09-10,TRUE,
2024-09-11,TRUE,
2024-09-12,TRUE,
2024-09-13,TRUE,
2024-09-14,FALSE,
2024-09-15,FALSE,
2024-09-16,FALSE,敬老の日
2024-09-17,TRUE,
2024-09-18,TRUE,
2024-09-19,TRUE,
2024-09-20,TRUE,
2024-09-21,FALSE,
2024-09-22,FALSE,秋分の日
2024-09-23,FALSE,振替休日
2024-09-24,TRUE,
2024-09-25,TRUE,
2024-09-26,TRUE,
2024-09-27,TRUE,
2024-09-28,TRUE,
2024-09-29,FALSE,
2024-09-30,TRUE,
2024-10-01,TRUE,
2024-10-02,TRUE,
2024-10-03,TRUE,
2024-10-04,TRUE,
2024-10-05,FALSE,
2024-10-06,FALSE,
2024-10-07,TRUE,
2024-10-08,TRUE,
2024-10-09,TRUE,
2024-10-10,TRUE,
2024-10-11,FALSE,
2024-10-12,FALSE,
2024-10-13,FALSE,スポーツの日
2024-10-14,TRUE,
2024-10-15,TRUE,
2024-10-16,TRUE,
2024-10-17,TRUE,
2024-10-18,FALSE,
2024-10-19,FALSE,
2024-10-20,TRUE,
2024-10-21,TRUE,
2024-10-22,TRUE,
2024-10-23,TRUE,
2024-10-24,TRUE,
2024-10-25,FALSE,
2024-10-26,FALSE,
2024-10-27,TRUE,
2024-10-28,TRUE,
2024-10-29,TRUE,
2024-10-30,TRUE,
2024-10-31,TRUE,
2024-11-01,FALSE,
2024-11-02,FALSE,
2024-11-03,FALSE,文化の日
2024-11-04,TRUE,
2024-11-05,TRUE,
2024-11-06,TRUE,
2024-11-07,TRUE,
2024-11-08,FALSE,
2024-11-09,FALSE,
2024-11-10,TRUE,
2024-11-11,TRUE,
2024-11-12,TRUE,
2024-11-13,TRUE,
2024-11-14,TRUE,
2024-11-15,FALSE,
2024-11-16,FALSE,
2024-11-17,TRUE,
2024-11-18,TRUE,
2024-11-19,TRUE,
2024-11-20,TRUE,
2024-11-21,TRUE,
2024-11-22,FALSE,
2024-11-23,FALSE,勤労感謝の日
2024-11-24,FALSE,振替休日
2024-11-25,TRUE,
2024-11-26,TRUE,
2024-11-27,TRUE,
2024-11-28,TRUE,
2024-11-29,FALSE,
2024-11-30,FALSE,
2024-12-01,TRUE,
2024-12-02,TRUE,
2024-12-03,TRUE,
2024-12-04,TRUE,
2024-12-05,TRUE,
2024-12-06,FALSE,
2024-12-07,FALSE,
2024-12-08,TRUE,
2024-12-09,TRUE,
2024-12-10,TRUE,
2024-12-11,TRUE,
2024-12-12,TRUE,
2024-12-13,FALSE,
2024-12-14,FALSE,
2024-12-15,TRUE,
2024-12-16,TRUE,
2024-12-17,TRUE,
2024-12-18,TRUE,
2024-12-19,TRUE,
2024-12-20,FALSE,
2024-12-21,FALSE,
2024-12-22,TRUE,
2024-12-23,TRUE,
2024-12-24,TRUE,
2024-12-25,TRUE,
2024-12-26,TRUE,
2024-12-27,FALSE,
2024-12-28,FALSE,
2024-12-29,TRUE,
2024-12-30,TRUE,
2024-12-31,FALSE,
2025-01-01,FALSE,元日
2025-01-02,FALSE,
2025-01-03,FALSE,
2025-01-04,FALSE,
2025-01-05,FALSE,
2025-01-06,TRUE,
2025-01-07,TRUE,
2025-01-08,TRUE,
2025-01-09,TRUE,
2025-01-10,TRUE,
2025-01-11,FALSE,
2025-01-12,FALSE,
2025-01-13,FALSE,成人の日
2025-01-14,TRUE,
2025-01-15,TRUE,
2025-01-16,TRUE,
2025-01-17,TRUE,
2025-01-18,FALSE,
2025-01-19,FALSE,
2025-01-20,TRUE,
2025-01-21,TRUE,
2025-01-22,TRUE,
2025-01-23,TRUE,
2025-01-24,TRUE,
2025-01-25,FALSE,
2025-01-26,FALSE,
2025-01-27,TRUE,
2025-01-28,TRUE,
2025-01-29,TRUE,
2025-01-30,TRUE,
2025-01-31,TRUE,
2025-02-01,FALSE,
2025-02-02,FALSE,
2025-02-03,TRUE,
2025-02-04,TRUE,
2025-02-05,TRUE,
2025-02-06,TRUE,
2025-02-07,TRUE,
2025-02-08,FALSE,
2025-02-09,FALSE,
2025-02-10,TRUE,
2025-02-11,FALSE,建国記念の日
2025-02-12,TRUE,
2025-02-13,TRUE,
2025-02-14,TRUE,
2025-02-15,FALSE,
2025-02-16,FALSE,
2025-02-17,TRUE,
2025-02-18,TRUE,
2025-02-19,TRUE,
2025-02-20,TRUE,
2025-02-21,TRUE,
2025-02-22,FALSE,
2025-02-23,FALSE,天皇誕生日
2025-02-24,FALSE,振替休日
2025-02-25,TRUE,
2025-02-26,TRUE,
2025-02-27,TRUE,
2025-02-28,TRUE,
2025-03-01,FALSE,
2025-03-02,FALSE,
2025-03-03,TRUE,
2025-03-04,TRUE,
2025-03-05,TRUE,
2025-03-06,TRUE,
2025-03-07,TRUE,
2025-03-08,FALSE,
2025-03-09,FALSE,
2025-03-10,TRUE,
2025-03-11,TRUE,
2025-03-12,TRUE,
2025-03-13,TRUE,
2025-03-14,TRUE,
2025-03-15,FALSE,
2025-03-16,FALSE,
2025-03-17,TRUE,
2025-03-18,TRUE,
2025-03-19,TRUE,
2025-03-20,FALSE,春分の日
2025-03-21,TRUE,
2025-03-22,FALSE,
2025-03-23,FALSE,
2025-03-24,TRUE,
2025-03-25,TRUE,
2025-03-26,TRUE,
2025-03-27,TRUE,
2025-03-28,TRUE,
2025-03-29,FALSE,
2025-03-30,FALSE,
2025-03-31,TRUE,
2025-04-01,TRUE,
2025-04-02,TRUE,
2025-04-03,TRUE,
2025-04-04,TRUE,
2025-04-05,FALSE,
2025-04-06,FALSE,
2025-04-07,TRUE,
2025-04-08,TRUE,
2025-04-09,TRUE,
2025-04-10,TRUE,
2025-04-11,TRUE,
2025-04-12,FALSE,
2025-04-13,FALSE,
2025-04-14,TRUE,
2025-04-15,TRUE,
2025-04-16,TRUE,
2025-04-17,TRUE,
2025-04-18,TRUE,
2025-04-19,FALSE,
2025-04-20,FALSE,
2025-04-21,TRUE,
2025-04-22,TRUE,
2025-04-23,TRUE,
2025-04-24,TRUE,
2025-04-25,TRUE,
2025-04-26,FALSE,
2025-04-27,FALSE,
2025-04-28,TRUE,
2025-04-29,FALSE,昭和の日
2025-04-30,TRUE,
2025-05-01,TRUE,
2025-05-02,TRUE,
2025-05-03,FALSE,憲法記念日
2025-05-04,FALSE,みどりの日
2025-05-05,FALSE,こどもの日
2025-05-06,FALSE,振替休日
2025-05-07,TRUE,
2025-05-08,TRUE,
2025-05-09,TRUE,
2025-05-10,TRUE,
2025-05-11,FALSE,
2025-05-12,FALSE,
2025-05-13,TRUE,
2025-05-14,TRUE,
2025-05-15,TRUE,
2025-05-16,TRUE,
2025-05-17,FALSE,
2025-05-18,FALSE,
2025-05-19,TRUE,
2025-05-20,TRUE,
2025-05-21,TRUE,
2025-05-22,TRUE,
2025-05-23,TRUE,
2025-05-24,FALSE,
2025-05-25,FALSE,
2025-05-26,TRUE,
2025-05-27,TRUE,
2025-05-28,TRUE,
2025-05-29,TRUE,
2025-05-30,TRUE,
2025-05-31,FALSE,
2025-06-01,FALSE,
2025-06-02,TRUE,
2025-06-03,TRUE,
2025-06-04,TRUE,
2025-06-05,TRUE,
2025-06-06,TRUE,
2025-06-07,FALSE,
2025-06-08,FALSE,
2025-06-09,TRUE,
2025-06-10,TRUE,
2025-06-11,TRUE,
2025-06-12,TRUE,
2025-06-13,TRUE,
2025-06-14,FALSE,
2025-06-15,FALSE,
2025-06-16,TRUE,
2025-06-17,TRUE,
2025-06-18,TRUE,
2025-06-19,TRUE,
2025-06-20,TRUE,
2025-06-21,FALSE,
2025-06-22,FALSE,
2025-06-23,TRUE,
2025-06-24,TRUE,
2025-06-25,TRUE,
2025-06-26,TRUE,
2025-06-27,TRUE,
2025-06-28,FALSE,
2025-06-29,FALSE,
2025-06-30,TRUE,
2025-07-01,TRUE,
2025-07-02,TRUE,
2025-07-03,TRUE,
2025-07-04,TRUE,
2025-07-05,FALSE,
2025-07-06,FALSE,
2025-07-07,TRUE,
2025-07-08,TRUE,
2025-07-09,TRUE,
2025-07-10,TRUE,
2025-07-11,TRUE,
2025-07-12,FALSE,
2025-07-13,FALSE,
2025-07-14,TRUE,
2025-07-15,TRUE,
2025-07-16,TRUE,
2025-07-17,TRUE,
2025-07-18,TRUE,
2025-07-19,FALSE,
2025-07-20,FALSE,
2025-07-21,FALSE,海の日
2025-07-22,TRUE,
2025-07-23,TRUE,
2025-07-24,TRUE,
2025-07-25,TRUE,
2025-07-26,FALSE,
2025-07-27,FALSE,
2025-07-28,TRUE,
2025-07-29,TRUE,
2025-07-30,TRUE,
2025-07-31,TRUE,
2025-08-01,TRUE,
2025-08-02,FALSE,
2025-08-03,FALSE,
2025-08-04,TRUE,
2025-08-05,TRUE,
2025-08-06,TRUE,
2025-08-07,TRUE,
2025-08-08,TRUE,
2025-08-09,FALSE,
2025-08-10,FALSE,
2025-08-11,FALSE,山の日
2025-08-12,TRUE,
2025-08-13,TRUE,
2025-08-14,TRUE,
2025-08-15,TRUE,
2025-08-16,FALSE,
2025-08-17,FALSE,
2025-08-18,TRUE,
2025-08-19,TRUE,
2025-08-20,TRUE,
2025-08-21,TRUE,
2025-08-22,TRUE,
2025-08-23,FALSE,
2025-08-24,FALSE,
2025-08-25,TRUE,
2025-08-26,TRUE,
2025-08-27,TRUE,
2025-08-28,TRUE,
2025-08-29,TRUE,
2025-08-30,FALSE,
2025-08-31,FALSE,
2025-09-01,TRUE,
2025-09-02,TRUE,
2025-09-03,TRUE,
2025-09-04,TRUE,
2025-09-05,TRUE,
2025-09-06,FALSE,
2025-09-07,FALSE,
2025-09-08,TRUE,
2025-09-09,TRUE,
2025-09-10,TRUE,
2025-09-11,TRUE,
2025-09-12,TRUE,
2025-09-13,FALSE,
2025-09-14,FALSE,
2025-09-15,FALSE,敬老の日
2025-09-16,TRUE,
2025-09-17,TRUE,
2025-09-18,TRUE,
2025-09-19,TRUE,
2025-09-20,FALSE,
2025-09-21,FALSE,
2025-09-22,TRUE,
2025-09-23,FALSE,秋分の日
2025-09-24,TRUE,
2025-09-25,TRUE,
2025-09-26,TRUE,
2025-09-27,FALSE,
2025-09-28,FALSE,
2025-09-29,TRUE,
2025-09-30,TRUE,
2025-10-01,TRUE,
2025-10-02,TRUE,
2025-10-03,TRUE,
2025-10-04,FALSE,
2025-10-05,FALSE,
2025-10-06,TRUE,
2025-10-07,TRUE,
2025-10-08,TRUE,
2025-10-09,TRUE,
2025-10-10,TRUE,
2025-10-11,FALSE,
2025-10-12,FALSE,
2025-10-13,FALSE,スポーツの日
2025-10-14,TRUE,
2025-10-15,TRUE,
2025-10-16,TRUE,
2025-10-17,TRUE,
2025-10-18,FALSE,
2025-10-19,FALSE,
2025-10-20,TRUE,
2025-10-21,TRUE,
2025-10-22,TRUE,
2025-10-23,TRUE,
2025-10-24,TRUE,
2025-10-25,FALSE,
2025-10-26,FALSE,
2025-10-27,TRUE,
2025-10-28,TRUE,
2025-10-29,TRUE,
2025-10-30,TRUE,
2025-10-31,TRUE,
2025-11-01,FALSE,
2025-11-02,FALSE,
2025-11-03,FALSE,文化の日
2025-11-04,TRUE,
2025-11-05,TRUE,
2025-11-06,TRUE,
2025-11-07,TRUE,
2025-11-08,FALSE,
2025-11-09,FALSE,
2025-11-10,TRUE,
2025-11-11,TRUE,
2025-11-12,TRUE,
2025-11-13,TRUE,
2025-11-14,TRUE,
2025-11-15,FALSE,
2025-11-16,FALSE,
2025-11-17,TRUE,
2025-11-18,TRUE,
2025-11-19,TRUE,
